Mun_Code;Municipality;Population_2024;Distance_to_50k_city_km;Distance_class;Var_2011_2017_pct;Var_2018_2021_pct;Var_2021_2024_pct;Municipality_size;Comarca;Province;CCAA
44200;Rubielos de la Cérida;26,0;91,01;>60 km;-11,63;-2,63;-29,73;<1,000 (very small rural);CUENCA DEL JILOCA;Teruel;Aragón
19285;Torrubia;26,0;85,22;>60 km;-12,0;4,55;13,04;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
09407;Valmala;26,0;35,93;30-60 km;-9,09;-17,24;8,33;<1,000 (very small rural);DEMANDA;Burgos;Castilla y León
40005;Alconada de Maderuelo;26,0;83,23;>60 km;-19,44;-18,52;18,18;<1,000 (very small rural);SEPULVEDA;Segovia;Castilla y León
05119;Manjabálago y Ortigosa de Rioalmar;26,0;36,1;30-60 km;-34,88;-22,22;23,81;<1,000 (very small rural);AVILA;Ávila;Castilla y León
19259;Somolinos;26,0;69,39;>60 km;5,56;-14,29;-13,33;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
42097;Gormaz;26,0;97,48;>60 km;28,57;0,0;23,81;<1,000 (very small rural);SORIA;Soria;Castilla y León
44204;Saldón;26,0;50,15;30-60 km;-10,34;-3,85;4,0;<1,000 (very small rural);SERRANIA DE ALBARRACIN;Teruel;Aragón
42185;Torreblacos;26,0;94,74;>60 km;-10,34;4,0;0,0;<1,000 (very small rural);SORIA;Soria;Castilla y León
42037;Bliecos;26,0;104,94;>60 km;-16,28;-17,14;-10,34;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
31203;Petilla de Aragón;26,0;60,26;>60 km;54,55;-3,23;-13,33;<1,000 (very small rural);NAVARRA MEDIA;Navarra;Comunidad Foral de Navarra
47137;Roturas;26,0;51,15;30-60 km;-8,82;-9,38;-10,34;<1,000 (very small rural);SURESTE;Valladolid;Castilla y León
08216;Sant Jaume de Frontanyà;26,0;54,97;30-60 km;57,89;-6,67;-7,14;<1,000 (very small rural);BERGUEDA;Barcelona;Cataluña/Catalunya
09423;Vileña;27,0;41,63;30-60 km;-15,15;-10,34;3,85;<1,000 (very small rural);BUREBA-EBRO;Burgos;Castilla y León
42050;Cañamaque;27,0;111,45;>60 km;3,12;0,0;-15,62;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
