Mun_Code,Mun,pop_1996_2021 (k=25),pop_1998_2023 (k=25),pop_1999_2024 (k=25)
1046,Erriberagoitia/Ribera Alta,61.328125,59.84555984555985,64.07766990291263
1047,Ribera Baja/Erriberabeitia,205.5913978494624,185.17034068136275,191.8864097363083
1049,Añana,-23.645320197044335,-15.675675675675677,-24.46808510638298
1051,Agurain/Salvatierra,32.481559536354055,31.191950464396285,31.070429697431983
1052,Samaniego,0.9836065573770493,0.0,-5.228758169934641
1053,San Millán/Donemiliaga,3.61794500723589,3.7142857142857144,5.726872246696035
1054,Urkabustaiz,69.13875598086125,74.66504263093789,74.04761904761905
1055,Valdegovía/Gaubea,18.7995469988675,18.973214285714285,15.891891891891891
1056,Harana/Valle de Arana,-38.25136612021858,-38.8268156424581,-39.376770538243626
1057,Villabuena de Álava/Eskuernaga,-16.81159420289855,-15.929203539823009,-13.690476190476192
1058,Legutio,52.02135774218154,54.68277945619335,56.48912228057015
1059,Vitoria-Gasteiz,18.13857744335633,18.17740974566682,18.79495657459683
1060,Yécora/Iekora,4.724409448818897,-1.1904761904761905,3.11284046692607
1061,Zalduondo,41.17647058823529,48.484848484848484,37.5886524822695
1062,Zambrana,21.008403361344538,15.300546448087433,19.45945945945946
1063,Zuia,59.75189524465886,48.47908745247148,44.89920586438607
1901,Iruña Oka/Iruña de Oca,114.6039603960396,113.72549019607843,116.54719235364396
1902,Lantarón,10.373944511459591,4.1065482796892345,0.21645021645021645
2001,Abengibre,-26.594700686947988,-24.528301886792452,-23.795180722891565
2002,Alatoz,-27.379209370424597,-27.25925925925926,-27.339181286549707
2003,Albacete,20.113491748899506,19.079571548393307,18.037376209100707
2004,Albatana,-24.91730981256891,-25.057208237986274,-23.79310344827586
2005,Alborea,-16.040100250626566,-17.676143386897404,-16.851168511685117
2006,Alcadozo,-21.878862793572313,-16.816431322207958,-17.290322580645164
2007,Alcalá del Júcar,-26.231605886116444,-25.330687830687832,-26.754098360655735
2008,Alcaraz,-27.181767648693718,-24.6242774566474,-25.52826956025129
2009,Almansa,3.747819798357936,2.6375855947248286,2.8333050991021516
2010,Alpera,-2.889927751806205,-2.4096385542168677,-3.1705227077977725
2011,Ayna,-46.408839779005525,-40.07976071784646,-39.62264150943396
2012,Balazote,7.262823422605538,8.32208726945569,5.545696539485359
2013,Balsa de Ves,-52.22222222222223,-48.65900383141762,-56.18374558303887
2014,"Ballestero, El",-30.58823529411765,-27.748691099476442,-27.923211169284468
2015,Barrax,-8.640727640222334,-5.276639344262295,-4.508196721311475
2016,Bienservida,-37.5,-37.41721854304636,-39.14002205071665
2017,Bogarra,-46.96132596685083,-45.94594594594595,-44.469190794357836
2018,Bonete,-17.188755020080322,-20.967741935483872,-20.621931260229132
2019,"Bonillo, El",-18.45184518451845,-19.909365558912388,-19.95118974984747
2020,Carcelén,-26.627218934911244,-27.341389728096676,-26.656626506024097
2021,Casas de Juan Núñez,2.950075642965204,5.473025801407349,7.419100236779795
2022,Casas de Lázaro,-27.912087912087912,-28.159645232815965,-29.157175398633257
2023,Casas de Ves,-41.37214137214137,-39.03508771929825,-39.713971397139716
